track_uri,album_name,album_uri,artist_name,artist_uri,duration_ms,pid,track_name
spotify:track:06iMqWThw4w8fTFyccvOwr,Country Grammar,spotify:album:2HWBPvQoaMFBF6krXyzpOv,Nelly,spotify:artist:2gBjLmx6zQnFGQJCAQpRgw,291781,115,Ride Wit Me
spotify:track:47nm8czanMUzIqHsnr5x61,Clancy's Tavern,spotify:album:6fDc100UHbUvS6IuxBrKRn,Toby Keith,spotify:artist:2bA6fzP0lMAQ4kz6CF61w8,223386,115,Red Solo Cup
spotify:track:24NwBd5vZ2CK8VOQVnqdxr,Toys In The Attic,spotify:album:36IxIOGEBAXVozDSiVs09B,Aerosmith,spotify:artist:7Ey4PD4MYsKc5I2dolUwbH,274133,115,Sweet Emotion
spotify:track:2WKLUgklz0VDX5bKTZ3eYD,Buy Me A Boat,spotify:album:7BYmCd8JAOHpIiHIDJwDW0,Chris Janson,spotify:artist:60gmlHZmT16wiO9GiXKYK9,179077,115,Buy Me A Boat
spotify:track:2d48mamATjby7wgPjdrSOQ,Life Changes,spotify:album:4w5Jvreahp3yvLqc4vCr9I,Thomas Rhett,spotify:artist:6x2LnllRG5uGarZMsD4iO8,223626,115,Craving You
spotify:track:1zWZvrk13cL8Sl3VLeG57F,Tangled Up,spotify:album:4ykbJPI8MPscFzROE8dqLy,Thomas Rhett,spotify:artist:6x2LnllRG5uGarZMsD4iO8,227693,115,T-Shirt
spotify:track:5PNcJn4oFNvlRfrZBHfqWh,JEKYLL + HYDE,spotify:album:1xy141zMRluP7YaE94IawT,Zac Brown Band,spotify:artist:6yJCxee7QumYr820xdIsjo,188053,115,Castaway
spotify:track:0yD66650JxhqKbW76C2qCo,Tailgates & Tanlines,spotify:album:4ybWq0AegFFAvHULAe7q0K,Luke Bryan,spotify:artist:0BvkDsjIUla7X0k6CSWh1I,225560,115,Country Girl (Shake It For Me)
spotify:track:1lzr43nnXAijIGYnCT8M8H,Hot Shot,spotify:album:6NmFmPX56pcLBOFMhIiKvF,Shaggy,spotify:artist:5EvFsr3kj42KNv97ZEnqij,227600,115,It Wasn't Me
spotify:track:7wBrglFVTNCcW6IhdgBkm1,Mylo Xyloto,spotify:album:5GykKNn2KjofEoA8SpNnuw,Coldplay,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,278719,115,Paradise
spotify:track:4CJVkjo5WpmUAKp3R44LNb,Second Helping,spotify:album:5rtOJsiDDjA9V5306cyTRS,Lynyrd Skynyrd,spotify:artist:4MVyzYMgTwdP7Z49wAZHx0,281147,115,Sweet Home Alabama
spotify:track:41dlUjw62zsD6LZQcljMZR,Asleep In The Bread Aisle,spotify:album:3rTAixxgB3lS60JvK02hEH,Asher Roth,spotify:artist:1wgY8huggK60P5nvYrwcYT,241933,115,I Love College
spotify:track:7f08qp3HROTkfrtNpiYGGo,California Sunrise,spotify:album:1DTBcVfk3zXPHRmgpY6rFZ,Jon Pardi,spotify:artist:4MoAOfV4ROWofLG3a3hhBN,201893,115,Dirt On My Boots
spotify:track:1yEwEiTpsaPhQi9lb5EVV4,You Get What You Give,spotify:album:0AXoQGOZDaYSaOo0qCTiCr,Zac Brown Band,spotify:artist:6yJCxee7QumYr820xdIsjo,203173,115,Knee Deep (feat. Jimmy Buffett)
spotify:track:2KmEgiY8fQs0G6WNxtzQKr,Who's Next,spotify:album:5tqJNAjU163MfKLIP6DtYu,The Who,spotify:artist:67ea9eGLXYMsO2eYQRui3w,300400,115,Baba O'Riley
spotify:track:0x2wtJbtJrox3SDmnMj97x,Pronounced' Leh-'Nerd 'Skin-'Nerd,spotify:album:6DExt1eX4lflLacVjHHbOs,Lynyrd Skynyrd,spotify:artist:4MVyzYMgTwdP7Z49wAZHx0,267173,115,Gimme Three Steps
spotify:track:1qwnPVOIJjAFfCc40Etb1D,JEKYLL + HYDE,spotify:album:1xy141zMRluP7YaE94IawT,Zac Brown Band,spotify:artist:6yJCxee7QumYr820xdIsjo,205000,115,Homegrown
spotify:track:2Z2vOukzwOgqR4dkymRSWd,Sublime,spotify:album:4R3tXoorBpHji6Jdms8a4Q,Sublime,spotify:artist:0EdvGhlC1FkGItLOWQzG4J,182500,115,Santeria
spotify:track:2iaCM7WvOknQI1230hA9eK,Graduation,spotify:album:3SZr5Pco2oqKFORCP3WNj9,Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,203493,115,Homecoming
spotify:track:6XkuklKiHYVTlVvWlTgQYP,Man On The Moon II: The Legend Of Mr. Rager,spotify:album:08eM9GRdr5BCCHNqS3Wwud,Kid Cudi,spotify:artist:0fA0VVWsXO9YnASrzqfmYu,192253,115,Erase Me - Main
spotify:track:5nkYHBWXu7KCgcdwP6jcB1,Sublime,spotify:album:4R3tXoorBpHji6Jdms8a4Q,Sublime,spotify:artist:0EdvGhlC1FkGItLOWQzG4J,171066,115,What I Got
spotify:track:31bf9SEOppLU6lQ85d8om6,Ghetto Supastar,spotify:album:0bCx3zLZj4wezD07YFrLPM,Pras,spotify:artist:0kJMPTXq7h3ztpDukSx5iD,261133,115,Ghetto Supastar (That is What You Are)
spotify:track:3yrSvpt2l1xhsV9Em88Pul,Blowin' Your Mind!,spotify:album:7dsWupQRlFuhG8FGiQAUjC,Van Morrison,spotify:artist:44NX2ffIYHr6D4n7RaZF7A,183306,115,Brown Eyed Girl
spotify:track:1vYew137WJ69SFp9oez3xm,Alle 40 Goed,spotify:album:6T31ynBNvwXQ5q6JrMQg2r,UB40,spotify:artist:69MEO1AADKg1IZrq2XLzo5,183853,115,Red Red Wine - Edit
spotify:track:6p5GuyEqQH5pv02ouEyogQ,Dylan Scott,spotify:album:3OWQ3YIAdVNQyA7CFwJrfZ,Dylan Scott,spotify:artist:78YqeIji3mgAS2K1Maca6x,197640,115,My Girl
spotify:track:0M7mWKqwTIaVjYyxfZmtTa,Unleashed,spotify:album:7ExectJocqn8sMKq4Tn4LY,Toby Keith,spotify:artist:2bA6fzP0lMAQ4kz6CF61w8,195533,115,"Courtesy Of The Red, White And Blue (The Angry American)"
spotify:track:7gHs73wELdeycvS48JfIos,Faded,spotify:album:5HMjpBO0v78ayq5lreAyDd,Alan Walker,spotify:artist:7vk5e3vY1uw9plTHJAMwjN,212626,115,Faded
spotify:track:7qiZfU4dY1lWllzX7mPBI3,÷,spotify:album:3T4tUhGYeRNVUGevb0wThu,Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,233712,115,Shape of You
spotify:track:5iuPF9zzwVy5JwWIZhOBRv,Unleashed,spotify:album:6Y01qiPEwHPAjtYwFilFWL,Toby Keith,spotify:artist:2bA6fzP0lMAQ4kz6CF61w8,204000,115,Beer For My Horses
spotify:track:0El2Zyt68nYySFDG87hZgM,Anything Goes,spotify:album:5NG7WZaCZZ12M5LJm0JcVc,Florida Georgia Line,spotify:artist:3b8QkneNDz4JHKKKlLgYZg,184706,115,Sun Daze
spotify:track:2FviG1Ma0M0BSZbqaDvw0x,Montevallo,spotify:album:1M0vpI6KG4y0RwRuQ8SQxT,Sam Hunt,spotify:artist:2kucQ9jQwuD8jWdtR9Ef38,190240,115,House Party
spotify:track:5vLonpxn4VN0A8GtQOBSG0,When The Sun Goes Down,spotify:album:052CF6cpp0nAH67yuUrIp7,Kenny Chesney,spotify:artist:3grHWM9bx2E9vwJCdlRv9O,290560,115,When the Sun Goes Down
spotify:track:5c5a2Ptu8eyIpljhQHjIqk,Cage The Elephant,spotify:album:0KcRX7YkMZ4mwOkEiCb9zw,Cage The Elephant,spotify:artist:26T3LtbuGT1Fu9m0eRq5X3,175493,115,Ain't No Rest for the Wicked - Original Version
spotify:track:3nAq2hCr1oWsIU54tS98pL,The Life Of Pablo,spotify:album:7gsWAHLeT0w7es6FofOXk1,Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,181573,115,Waves
spotify:track:4dGJf1SER1T6ooX46vwzRB,The Foundation,spotify:album:0Im5nUhAuNDSYVjfPh7RyS,Zac Brown Band,spotify:artist:6yJCxee7QumYr820xdIsjo,238146,115,Chicken Fried
spotify:track:7tr2za8SQg2CI8EDgrdtNl,Funk Wav Bounces Vol.1,spotify:album:2HaqChIDc5go3qxVunBDK0,Calvin Harris,spotify:artist:7CajNmpbOovFoOoasH2HaY,230813,115,Slide
spotify:track:6ooluO7DiEhI1zmK94nRCM,Franz Ferdinand,spotify:album:0mUEGMT2YlzCWGeWOJjBKD,Franz Ferdinand,spotify:artist:0XNa1vTidXlvJ2gHSsRi4A,237026,115,Take Me Out
spotify:track:69XcvSymPaTke2Qb6f3W6P,JEKYLL + HYDE,spotify:album:1xy141zMRluP7YaE94IawT,Zac Brown Band,spotify:artist:6yJCxee7QumYr820xdIsjo,155653,115,Loving You Easy
spotify:track:1fLdeDTrJWNkwOeFyAVLvF,Graduation,spotify:album:3SZr5Pco2oqKFORCP3WNj9,Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,207000,115,Good Life
spotify:track:7mldq42yDuxiUNn08nvzHO,Body Like A Back Road,spotify:album:2N7kidh1wA9EoLdf16QWrz,Sam Hunt,spotify:artist:2kucQ9jQwuD8jWdtR9Ef38,165386,115,Body Like A Back Road
spotify:track:5bcTCxgc7xVfSaMV3RuVke,Funk Wav Bounces Vol.1,spotify:album:2HaqChIDc5go3qxVunBDK0,Calvin Harris,spotify:artist:7CajNmpbOovFoOoasH2HaY,223413,115,Feels
spotify:track:4dASQiO1Eoo3RJvt74FtXB,Sucker For Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),spotify:album:704GHNtZhEe9TBgleCNNGv,Lil Wayne,spotify:artist:55Aa2cqylxrFIXC767Z865,243490,115,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)"
spotify:track:6Ius4TC0L3cN74HT7ENE6e,2014 Forest Hills Drive,spotify:album:7viNUmZZ8ztn2UB4XB3jIL,J. Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,239320,115,Wet Dreamz
spotify:track:6yIMatK8OCXC3GuIlwHxuM,Uncaged,spotify:album:50JEs25Ca52Q8lcAkuttuP,Zac Brown Band,spotify:artist:6yJCxee7QumYr820xdIsjo,180813,115,Jump Right In
